NAMA DOKTER,JUDUL,TULISAN,LINK
dr. Rahmita Dewi,Nyeri punggung akibat penyakit diabetes,"Diabetes adalah suatu kondisi medis yang berkaitan dengan hormon yang disebut dengan insulin, dimana terjadi gangguan yang menyebabkan kadar gula darah di dalam tubuh menjadi terlalu tinggi. Insulin merupakan hormon yang mengatur gula dan lemak, diproduksi oleh organ pankreas dan gangguan yang terjadi pada insulin umumnya adalah produksi yang sangat sedikit atau ketika respon tubuh pada insulin tidak tepat. 
Keadaan kadar gula yang terlalu tinggi pada penderita diabetes dapat mengakibatkan berbagai komplikasi. Salah satunya komplikasi kerusakan saraf yang disebut dengan neuropati diabetikum. Lokasi terkenanya saraf dapat terjadi dari ujung kaki hingga ujung kepala. Dan terkait dengan keluhan nyeri punggung pada Anda, apabila tidak ada riwayat nyeri yang menjalar, mungkin merupakan jenis neuropati fokal atau yang menyerang pada satu saraf yang spesifik, di daerah punggung.
Namun terdapat pula kemungkinan penyebab lainnya dari nyeri punggung, seperti :
Tegangan pada otot dan ligamen di daerah tulang belakang
Gangguan bantalan tulang belakang
Radang sendi
Gangguan struktur tulang belakang
Pengapuran tulang dan kondisi medis lainnya
Untuk memastikan apakah memang sakit punggung yang dirasakan merupakan komplikasi dari diabetes, diperlukan pemeriksaan lebih lanjut dan hendaknya kontrol rutin gula darah serta pengobatan diabetes dilakukan secara teratur. Dengan keadaan gula darah yang terkontrol, umumnya keluhan neuropati dapat membaik, dapat pula mencegah terjadinya neuropati di bagian saraf yang lain dan mencegah perburukan pada saraf yang telah terkena.
Secara umum, beberapa cara untuk mengatasi sakit punggung diantaranya adalah :
Mengonsumsi obat pereda nyeri
Mengompres bagian yang nyeri atau menggunakan pereda nyeri topikal seperti krim capcaisin atau minyak cengkeh
Menjalani prosedur fisioterapi
Mengonsumsi air rebusan kunyit
Mengurangi stres
Dan sebagai opsi terakhir, dokter dapat menyarankan prosedur operasi
Untuk mencegah kekambuhan sakit punggung pada Anda, cobalah melakukan beberapa cara berikut :
Kontrol rutin gula darah dan pengobatan diabetes secara patuh pada dokter Anda
Latihan pereganggan punggung 2-3x dalam seminggu
Memperbaiki postur berdiri dan duduk 
Lebih memperhatikan pola makan
Hindari mengangkat benda berat 
Apabila perekrjaan Anda menuntut posisi duduk yang terus menerus, sempatkan untuk melakukan peregangan setiap 2-3 jam sekali",https://www.sehatq.com/forum/nyeri-punggung-akibat-penyakit-diabetes
dr. Lidya,"Awas diabetes, penyebab mata kabur.","Penglihatan yang berbayang dan kabur membuat tidak nyaman penderitanya. Mata sebagai organ keimbangan, jika terganggu penderita dapat merasakan pusing dan sempoyongan. Ini juga berbahaya karena dapat membuat penderita jatuh dengan benturan di kepala atau membuat penderita menabrak sesuatu.
Penyebab mata kabur
Penyebab mata kabur ada beberapa macam, antara lain :
Rabun jauh atau yang disebut miopia adalah seseorang tidak dapat melihat atau tidak jelas ketika melihat benda yang jauh. Penderita juga akan memicingkan mata untuk memperjelas penglihatannya.
Rabun dekat atau hipermetropia biasanya dialami oleh orang tua. Seseorang tidak dapat melihat benda atau tulisan dari jarak dekat, sehingga harus memundurkan buku yang dibacanya agar terlihat lebih jelas.
Silinder atau astigmatisme terjadi karena ketidaksempurnaan lengkung kornea. sehingga menyeyababkan penglihatan menjadi kabur.
Glaukoma. Kondisi ini terjadi karena tekanan yang tinggi di bola mata merusak saraf mata dan menyebabkan pandangan kabur.
Diabetetes. Diabetes merupak ""induk"" dari segala penyakit dapat menyerang saraf, termasuk saraf mata.
Stroke yang mengakibat pecahnya pembuluh darah mata.
Cara penatalaksanaan mata kabur
Cara penatalaksaan mata kabur seseuai dengan penyebabnya. Jika diakibatkan oleh penyakit diabetes, anda dapat mengontrol gula darah. Jika disebabkan oleh rabun jauh, rabun dekat, atau silinder, dapat menggunakankaca mata yang sesuai.
Konsultasi ke dokter mata jika keluhan terus berlanjut agar tidak mebahayakan diri Anda.",https://www.sehatq.com/forum/penglihatan-kabur-kabur-q27413
dr. Adhi Pasha Dwitama,Cara mengatasi vertigo dan diabetes,"Diabetes adalah peningkatan kadar gula darah tinggi yang dipastikan dengan kadar gula darah lebih dari 200 g/dl pada pemeriksaan gula darah sementara atau gula darah puasa lebih dari 126 g/dl. Jika gula darah mencapai 329 g/dl tidak bisa hanya mengonsumsi herbal untuk mengendalikan gula darah tetapi perlu diperiksakan pada dokter atau dokter spesialis penyakit dalam untuk mendapatkan penanganan obat hiperglikemik oral atau obat diabetes. 
Penyakit diabetes adalah penyakit kronik yang tidak bisa disembuhkan jadi memerlukan mengonsumsi obat seumur hidup dan menjaga pola hidup dan asupan makan agar menjaga kadar gula darah terkontrol dan menghindari komplikasi lain yang bisa disebabkan oleh kadar gula darah tinggi yang tidak terkontrol.
Pusing berputar disertai mual sendiri bisa beragam penyebabnya diantaranya:
Vertigo
Tekanan darah tinggi
Tekanan darah rendah
Tekanan gula darah yang rendah atau hipoglikemia
Kurang darah atau anemia
Gangguan psikologis
Efek obat-obatan
Beberapa kemungkinan pusing juga bisa dipicu oleh konsumsi herbal yang bisa menyebabkan penurunan tekanan darah mendadak ataupun penurunan gula darah yang terlalu drastis. Untuk itu sebaiknya bisa diperiksakan pada dokter segera dan dilakukan pemeriksaan baik pemeriksaan fisik dan juga pemeriksaan penunjang seperti lab darah dan pemeriksaan lainnya yang diperlukan.",https://www.sehatq.com/forum/sehatq-q25784
dr. Sylvia V,Bolehkah penderita diabetes sarapan oats?,"Oats berasal dari biji gandum kering, yang mengandung banyak zat gizi seperti vitamin B, kalsium, zat besi, magnesium, dan serat. Oats memiliki banyak manfaat bagi kesehatan, misalnya melancarkan buang air besar, menyehatkan tulang, maupun mencerahkan kulit dan mengecilkan pori-pori apabila dijadikan masker wajah.
Oats merupakan salah satu makanan yang dapat menjadi sumber karbohidrat. Oats tergolong ke dalam karbohidrat kompleks, yang lebih lambat dalam menaikkan gula darah ketimbang karbohidrat simpleks. Pada penderita diabetes, memang karbohidrat kompleks seperti oats-lah yang direkomendasikan.
Oleh karena itu, mengonsumsi oats sebagai sarapan diperbolehkan, ya. Selain itu, Anda juga bisa mengonsumsi jenis karbohidrat kompleks lainnya seperti beras merah, roti gandum, quinoa, buah-buahan, ataupun sayur-mayur.
Imbangi karbohidrat kompleks dengan zat gizi lainnya, yaitu:
Lemak sehat, yang bisa Anda dapatkan dari minyak kelapa, minyak zaitun, maupun telur
Protein, misalnya dari tahu, tempe, kacang-kacangan, daging, ikan, atau ayam
Vitamin dan mineral, dari buah dan sayur-mayur
Jangan lupa juga untuk minum air putih secara teratur, ya. Lalu, selain memperhatikan pola makan, penderita diabetes sebaiknya melakukan aktivitas secara rutin 30 menit per hari. Pantau gula darah secara berkala, dan segera periksakan kepadadokter spesialis penyakit dalam apabila ada keluhan.",https://www.sehatq.com/forum/bolehkah-penderita-diabetes-sarapan-oats-q19357
dr. Pany,Bagaimana cara menghindari gatal diabetes?,"Diabetes Mellitus adalah kondisi dimana sesoerang memiliki kadar gula darah tinggi dalam darah yang disebabkan gangguan fungsi dan sekresi insulin, hormon pengatur gula darah. Hal ini dipastikan dengan melakukan pemeriksaan gula darah puasa, sewaktu, post prandial dan HbA1C.
Penyebab Kulit Gatal Pada Diabetes
Ada beberapa gejala yang bisa ditimbulkan oleh diabetes, salah satunya gatal-gatal kulit pada tubuh atau disebut akantosis nigrikans. Penyebab timbulnya gatal pada diabetes ini karena gula darah yang tinggi menyebabkan sistem saraf memproduksi sitokin yang memicu peradangan atau inflamasi. 
Peradangan ini bisa timbul di kulit dan menyebabkan sensasi gatal, kering dan pecah-pecah hingga bersisik. Rasa gatal ini membuat anda menggaruk kulit yang bisa menyebabkan luka dan kemudian terjadi infeksi pada kulit serta menyisakan bekas luka menghitam atau luka yang sulit sembuh pada diabetes.
Mengatasi Kulit Gatal Diabetes
Kulit gatal pada diabetes ini bisa anda atasi dengan melakukan beberapa cara. Caranya bisa dengan:
Mengontrol gula darah
Mengoleskan lotion pelembap kulit 
Bisa menggunakan tea tree oil
Menggunakan humidifier (pelembap ruangan)
Mandi jangan terlalu lama dan gunakan air sejuk serta sabun yang mengandung pelembap
Memperbanyak asupan makanan yang mengandung omega-3 seperti alpukat, ikan, kacang-kacangan dan biji-bijian
Asupan air putih yang cukup
Namun bila kulit gatal anda semakin parah dan disertai dengan ruam kemerahan, bengkak, bintik berair dan sebagainya maka periksakanlah ke dokter kulit untuk mencari kemungkinan penyebab lainnya seperti alergi, iritasi atau infeksi kulit.",https://www.sehatq.com/forum/bagaimana-cara-menghindari-gatal-diabetes-q47103
dr. Aisyah Nur Ramadhani,Apa itu penyakit diabetes melitus?,"Diabetes melitus merupakan kelainan yang terjadi pada kelenjar insulin sehingga menyebabkan kenaikan kadar gula darah. Normalnya kadar gula darah di kontrol oleh insulin, namun karena insulin mengalami gangguan maka kadar gula darah menjadi tidak terkontrol. Diabetes yang tidak terkontrol dengan baik akan mengakibatkan komplikasi penyakit lain seperti stroke, jantung, gangguan pada mata dan ginjal.
Beberapa gejala yang sering muncul pada diabetes :
Sering haus
Sering lapar
Sering kencing terutama pada malam hari
Padangan mata buram
Luka yang lama sembuh
Diabetes umumnya terbagi menjadi diabetes 1 dan 2. Diabetes 1 bermula dari usia anak. Sedangkan diabetes 2 disebabkan oleha gaya hidup, sehingga dapat muncul dalam usia berapa saja. Diagnosis diabetes dilakukan dengan anamnesis, pemeriksaan fisik dan pemeriksaan penunjang seperti pengecekan gula darah puasa normalnya <126 mg/dL dan gula darah sewaktu normalnya <200 mg/dL. Sehingga jika Anda mendapatkan kadar gula darah yang meningkat sebaiknya periksakan lebih lanjut kedokter penyakit dalam atau lakukankonsultasi online chat ke dokter penyakit dalam.",https://www.sehatq.com/forum/apa-itu-penyakit-diabetes-melitus-q38746
dr. Vina Liliana,Diabetes apakah penyakit turunan?,"Penyakit diabetes memang memiliki faktor keturunan, namun bukan berarti bila orang tuanya diabetes, anaknya pasti diabetes. Namun bila oang tuanya diabetes, maka kemungkinan anaknya mengidap diabetes lebih besar dibanding anak yang orang tuanya tidak ada diabetes.
Diabetes sendiri memiliki ciri-ciri mudah lapar, sering haus, penurunan berat badan, sering gatal-gatal, sering kencing. Dan diabetes ini dibedakan menjadi 2 tipe yaitu diabetes tipe 1 dimana ditemukan diabetes sejak lahir karena adanya kerusakan pankreas, sedangkan diabetes tipe 2 ditemukan diabetes ketika sudah dewasa atau usia lanjut akibat pola makan yang tidak benar.
Selain faktor genetik, pola makan sangat berperan penting. Sehingga bila Anda memiliki orang tua yang diabetes perlu mulai menjaga pola makan dengan cara :
Batasi kalori yang masuk.
Hindari makanan yang manis-manis, seperti kue kering, minuman bersoda, alkohol, batasi asupan nasi.
Perbanyak makan sayur dan buah agar tidak mudah lapar.
Hindari makan terlalu kenyang.
Minum air putih yang banyak minimal 2 liter/ hari.
Lakukan olahraga secara rutin 30 menit setiap hari.
Anda juga perlu sesekali melakukan pemeriksaan kadar gula darah untuk deteksi dini, dan lakukan pemeriksaan ke dokter bila hasil laboratoriumnya tidak normal.",https://www.sehatq.com/forum/diabetes-q10711
dr. Aisyah Nur Ramadhani,Pengaturan konsumsi obat diabetes?,"Diabetes merupakan penyakit yang berkaitan dengan gula darah. Pada pasien diabetes biasanya gula darahnya akan meningkat. Diabetes bisa dicegah dengan perubahan gaya hidup. Selain dengan gaya hidup penanganan diabetes dilakukan dengan pengobatan. Pengobatan diabetes harus dikonsumsi secara teratur agar gula darah menjadi terkontrol.
Beberapa jenis pengobatan diabetes yang sering digunakan :
Metformin
Obat ini paling sering digunakan untuk menurunkan diabetes. Metformin biasanya di berikan sesudah makan
Glibenclamide dan Glimepiride
Obat ini biasanya di minum sebelum makan dan bisa diberikan secara kombinasi
Acarbose
Obat ini biasanya dikonsumsi bersamaan dengan makan
Selain beberapa obat di atas bisa juga diberikan pengobatan insulin. Untuk pengaturan dosis akan dilakukan oleh dokter penyakit dalam disesuaikan dengan evaluasi pengecekan kadar gula darah Anda setiap bulannya. Jangan lupa untuk selalu menjaga pola makan dengan menghindari makan dan minuman manis, olahraga teratur minimal 3-4 kali/minggu, istirahat cukup minimal 6-8 jam/hari, hindari rokok dan alkohol. Anda juga dapatberkonsultasi melalui online chat ke dokter penyakit dalam.",https://www.sehatq.com/forum/penyakit-diabetes-q37218
dr. Pany,Gejala awal penyakit diabetes,"Diabetes melitus merupakan suatu penyakit kronis dimana kadar gula dalam darah tinggi melebihi normalnya. Diabetes melitus termasuk dalam penyakit yang irreversible yang artinya tidak dapat disembuhkan namun dapat dikontrol hingga kadar normalnya.
Penyebab Diabetes Melitus
Terdapat berbagai kondisi dan faktor resiko yang dapat menyebabkan timbulnya diabetes. Penyebab diabetes adalah:
Riwayat keturunan atau genetik
Usia diatas 40 tahun
Pola hidup yang buruk
Kehamilan
Kelainan organ pankreas
Obesitas
Gejala Awal Diabetes
Bila gula darah tinggi bisa menimbulkan berbagai gejala yang bisa dirasakan. Berbagai gejala bila mengalami diabetes adalah:
Sering BAK malam hari
Sudah banyak minum tapi haus terus dan mulut kering
Berat badan turun walau makan seperti biasa
Badan gatal-gatal
Luka yang sulit atau lama sembuh
Tubuh lemas dan lelah
Kesemutan atau baal di tangan dan kaki
Pandangan mata kabur
Sering terkena infeksi
Keton dalam urin
Dalam mendiagnosis diabetes diperlukan pemeriksaan kadar gula darah yakni gula darah, gula darah 2 jam post prandial, gula darah sewaktu dan HbA1C. Bilamana hasil pemeriksaan menunjukkan anda mengalami diabetes, maka periksakan ke dokter spesialis penyakit dalam dan akan diberikan pengobatan yang sesuai.
Mencegah Diabetes
Untuk mencegah terjadinya diabetes maka lakukanlah kebiasaan hidup sehat seperti makan bergizi dan menghindari makanan tinggi gula atau karbohidrat berlebih serta kolesterol tinggi, olahraga secara rutin, mencapai berat badan ideal serta tidak stres dan tidur yang cukup.",https://www.sehatq.com/forum/gejala-awal-penyakit-diabetes-q38573
dr. Karlina,Apakah diabetes melitus bisa sembuh?,"Diabetes adalah penyakit yang tidak  bisa sembuh tapi kadar gula dalam darah bisa dikotrol agar tidak menimbulkan gejala dan memperkecil komplikasi
 
Gejala diabetes :
Haus berlebih
Sering kencing
Berat badan menurun
Sering lapar
Mudah lelah
Pandangan buram
Cepat marah
Penyembuhan luka lambat
 
Cara mengetahui seseorang mengalami gula darah tinggi adalah dengan pemeriksaan darah di laboratorium
Tes gula darah sewaktu / tanpa puasa : Dikatakan berlebih apabila diatas 200mg/dl
Tes gula darah puasa >126 mg/dl dikatakan diabetes
Cara mencegahnya adalah :
Makan makanan bergizi
Olahraga teratur minimal 30 menit sehari dan lakukan minimal 3x seminggu
Jaga berat badan ideal
Hindari makanan manis / bergula lebih
Ganti nasi dengan karbohidrat lain misalnya singkong, beras merah
Kontrol gula darah rutin perbulan ke dokter",https://www.sehatq.com/forum/apakah-diabetes-melitus-bisa-sembuh
dr. Aisyah Nur Ramadhani,"Apakah penderita diabetes boleh berpuasa?","Pada prinsipnya, penderita diabetes boleh saja menjalankan ibadah puasa, asalkan kadar gula darahnya terkontrol baik dan tidak memiliki penyakit serius lainnya, seperti penyakit jantung atau ginjal.
Bagi penderita diabetes, pengaturan pola makan, aktivitas fisik, dan jadwal minum obat penting untuk diperhatikan selama berpuasa. Hal ini dilakukan untuk mencegah terjadinya komplikasi berupa kadar gula darah turun secara drastis (hipoglikemia) atau justru menjadi sangat tinggi (hiperglikemia).
Tips berpuasa bagi pasien diabetes :
Jangan melewatkan makan saur dan berbuka puasa
Hindari makanan yang berlebihan
Konsumsi makanan yang banyak mengandung serat
Hindari gorengan dan makanan yang terlalu manis
Minum air putih 
Periksa gula darah secara teratur
Lakukan olahraga ringan
Konsumsi obat sesuai petunjuk dokter
Apabila saat berpuasa, Anda merasa pusing, sakit kepala, lemas, jantung berdebar-debar, keringat dingin, tubuh gemetar, dan seperti akan pingsan, segera hentikan puasa. Jangan lupa untuk kontrol teratur ke dokter spesialis penyakit dalam Anda.",https://www.sehatq.com/forum/apakah-penderita-diabetes-boleh-berpuasa-q14710
dr. Pany,Suami impoten karena diabetes harus bagaimana ?,"Komplikasi dari penyakit diabetes pada pria salah satunya adalah impotensi. Impotensi merupakan keadaan dimana pria sulit memulai atau mempertahankan ereksi. Pada diabetes, impotensi disebabkan karena terganggunya suplai darah ke bagian organ reproduksi yang berefek pada berkurangnya fungsi saraf penis.
Rangsangan seksual memicu pengeluaran nitrit oksida oleh tubuh yang kemudian masuk ke aliran darah dan membuat otot penis relaksasi sehingga aliran darah ke penis akan meningkat dan membuat ereksi yang optimal. Bila pada Diabetisi (orang yang memiliki diabetes) yang gula darahnya tidak terkontrol maka akan mengganggu kerja nitrit oksida sehingga ereksi tidak terjadi.
Untuk mengatasi impotensi pada Diabetisi sebaiknya dilakukan beberapa hal berikut :
Kontrol gula darah rutin
Minum obat gula teratur sesuai anjuran dokter
Olahraga rutin 3-4x seminggu, 30-60 menit, untuk memperlancar aliran darah, mengontrol gula darah, dan dapat mengoptimalkan kerja sel-sel tubuh dan merangsang regenerasi sel, termasuk organ reproduksi.
Makan makanan sesuai dengan diet untuk Diabetisi
Konsumsi minyak zaitun 
Perbanyak buah dan sayur untuk antioksidan sel
Asupan air putih yang cukup
Istirahat yang efektif dan cukup.
Menjaga berat badan ideal
Apabila hal-hal diatas telah dilakukan namun impotensi tidak membaik sebaiknya dikonsultasikan ke dokter spesialis penyakit dalam terkait diabetes dan dokter spesialis andrologi mengenai impotensi untuk bisa dilakukan pemeriksaan dan penanganan lebih lanjut.",https://www.sehatq.com/forum/suami-impoten-q27354
dr. Aisyah Nur Ramadhani,Apa arti GDP untuk pasien diabetes?,"Diabetes merupakan salah satu penyakit kronis yang sering terjadi pada lansia, tandanya adalah peningkatan kadar gula darah yang tinggi. Pada pasien diabetes pakreas tidak dapat memproduksi hormon insulin sehingga gula darah akan banyak terdapat dalam darah.
Beberapa gejala yang sering muncul pada pasien diabetes :
Sering buang air kecil terutama pada malam hari
Sering merasa lapar
Sering merasa haus
Berat badan turun
Badan lemas
Pandangan kabur
Luka susah sembuh
Beberapa pemeriksaan gula darah yang dapat dilakukan dalam diabetes :
Gula Darah Sewaktu (GDS)
Tes ini dapat dilakukan kapan saja, bahkan setelah Anda makan, normalnya GDS < 200 mg/dL.
Gula darah Puasa (GDP)
Tes ini dapat dilakukan setelah Anda berpuasa selama 8 jam, normalnya < 126 mg/dL.
Gula Darah 2 jam Post-Prandial (GD2PP)
Dilakukan saat 2 jam setelah makan.
HbA1c
Tes yang dilakukan untuk menilai kadar glukosa yang menempel pada sel darah merah.
Jika Anda mengalami diabetes, Anda harus sering mengecek kadar gula darah Anda secara teratur, dan minum obat secara teratur sesuai anjutan dokter penyakit dalam, agar kadar gula darah dalam tubuh stabil dan terkontrol.",https://www.sehatq.com/forum/apa-arti-gdp-untuk-pasien-diabetes-q19256
dr. Farahdissa,Bagaimana mengatasi gangguan ereksi pada diabetes?,"Adanya kondisi gangguan ereksi seperti ereksi tidak tahan lama atau bahkan tidak dapat ereksi sama sekali maka termasuk pada kondisi yang disebut impotensi.  
Penyebab terjadinya gangguan ereksi :
Faktor psikologis seperti cemas berlebihan, stres akut, hingga depresi. 
Penggunaan obat-obatan seperti obat jantung, tekanan darah tinggi. 
Memiliki riwayat penyakit diabetes yang sudah menimbulkan komplikasi hingga kerusakan saraf dan pembuluh darah. Hal inilah yang memicu terjadinya gangguan ereksi. 
Memiliki penyakit saraf contohnya alzheimer, parkinson, stroke. 
Gangguan jantung yang menganggu aliran darah dari dan ke jantung. 
Riwayat operasi pada prostat.  
Ketika anda memiliki penyakit diabetes memang dapat meningkatkan potensi terjadinya gangguan pada kelamin seperti gangguan ereksi dan ejakulasi. Untuk itu diperlukan pengaturan pola makan dan gula darah agar tetap stabil sehingga tidak menimbulkan komplikasi. 
Karena kondisi gangguan ereksi yang dialami sudah lama terjadi ada baiknya segera periksakan ke dokter spesialis urologi guna dilakukan pemeriksaan langsung pada kelamin. Apakah terdapat gangguan di kelamin atau merupakan faktor efek samping dari gula darah tinggi.  
Beberapa cara untuk mengatasi gangguan ereksi pada diabetes :
Kelola stres dan cemas. 
Hindari merokok dan alkohol. 
Jaga berat badan tetap seimbang. 
Olahraga rutin dimulai dari yang ringan. 
Pola hidup sehat dengan jaga makan dan tidur teratur. 
Rutin konsumsi obat diabetes dan periksa berkala",https://www.sehatq.com/forum/kesehatan-q44780
dr. Farahdissa,Apa saja penanganan diabetes di rumah?,"Diabetes adalah peningkatan kadar gula darah akibat adanya gangguan pada hormon insulin disertai faktor gaya hidup yang kurang baik dan keturunan diabetes di keluarga.  
Penanganan diabetes bergantung pada kepatuhan pasien terhadap obat diabetes serta perubahan gaya hidup dan pola makan. Dengan menyeimbangkan ketiga pon tersebut maka diabetes dapat terkontrol dan mencegah timbulnya komplikasi diabetes.  
Penanganan di rumah pada penderita diabetes :
Jaga asupan makan dengan mengurangi yang tinggi gula seperti nasi, roti, teh manis, jus kemasan. 
Rutin konsumsi obat gula sesuai yang dianjurkan dokter. 
Pantau berat badan, jaga agar selalu stabil, tidak kegemukan namun tidak terlalu kurus juga. 
Tetap beraktivitas hanya dikurangi jika terlalu berat. 
Olahraga ringan seperti peregangan yang rutin dilakukan setiap pagi sembari berjemur. 
Usahakan istirahat selalu teratur dan membatasi begadang. 
Rutin cek gula darah puasa per minggu sebagai evaluasi saat kontrol. 
Pastikan selalu pakai alas kaki yang lembut guna mencegah timbulknya luka. 
Rutin periksa ke dokter spesialis penyakit dalam ketika obat habis agar selalu dilakukan pemeriksaan dan evaluasi terkait penyakit diabetes yang diderita orang tua.",https://www.sehatq.com/forum/penanganan-diabetes-q45905
dr. Farahdissa,Bagaimana cara mengatasi diabetes keturunan?,"Diabetes atau gula darah tinggi termasuk pada penyakit kronis yang identik dengan faktor keturunan.  Diabetes itu sendiri memiliki dua jenis yaitu diabetes tipe1 dan diabetes tipe 2.  Diabetes juga dapat timbul akibat kehamilan yang setelah persalinan risiko ibu menderita diabetes menjadi meningkat.  Walaupun memang diabetes dipengaruhi oleh keturunan namun bukan berarti orang tua dengan diabetes pasti anaknya juga mengalami diabetes.  Hal ini juga didukung dengan pola hidup sehari-hari.
Penyebab diabetes timbul merupakan kombinasi dari keturunan, obesitas, pola makan tidak sehat, jarang olahraga.  Anda tidak perlu khawatir, bila memiliki riwayat diabetes di keluarga maka mulai dari usia muda sudah menjaga kesehatan tubuh dan mengatur pola makan sehingga risiko diabetes di tubuh tidak terpicu dan menimbulkan keluhan. 
Beberapa cara mencegah timbulnya diabetes :
Menjaga berat badan seimbang cukup penting dalam mencegah diabetes.
Mengatur pola makan bukan berarti tidak boleh makan yang manis namun membatasi makanan sesuai kalori yang dibutuhkan dan tetap memenuhi gizi seimbang.
Membatasi makanan yang diproses, makanan kalengan, makanan berpengawet dan pemanis buatan. Minuman kopi, teh, dan soda.
Olahraga secara teratur minimal 30 menit sehari 5 kali seminggu. Mulai dengan olahraga ringan dulu.
Hindari merokok dan alkohol.
Perbanyak air putih.
Evaluasi ke dokter untuk cek gula darah puasa setiap 6 bulan – 1 tahun sekali untuk menjaga kadar gula darah stabil. ",https://www.sehatq.com/forum/bagaimana-cara-mengatasi-diabetes-keturunan-q34371
dr. Lidya Hapsari,Terapi pasien covid dengan diabetes,"Panas dingin, badan pegal, batuk, serta hilang indra penciuman dapat dialami oleh setiap orang terutama kondisi pandemi virus corona seperti saat ini. Berbagai keluhan ini mengarah kuat ke infeksi virus corona namun tidak menutup kemungkinan akibat sebab lain seperti influenza biasa, radang tenggorokan maupun polip hidung.
Apa saja obat batuk pasien covid dengan diabetes ?
Ibu Anda yang memiliki riwayat diabetes saat ini panas dingin, badan pegal, batuk, serta hilang indra penciuman dapat diatasi dengan berbagai cara dan obat antara lain :
Tetap lanjutkan obat diabetes sesuai anjuran dokter.
Kontrol rutin gula darah minimal 1 kali sebulan.
Tingkatkan imun dengan mengatur asupan makan bergizi dan olahraga sesuai kemampuan.
Minum air hangat dapat dicampur 1 sendok madu untuk melegakan pernafasan.
Hirup uap panas dicampur aromaterapi atau minyak telon.
Obat guaiafenesin dapat dikonsumsi untuk batuk berdahak pada pasien diabetes.
Konsumsi vitamin C, vitamin D dan zink.
Namun jika setelah konsumsi obat guaiafenesin batuk berdahak pada Ibu Anda tidak merada, sesak nafas, demam tinggi, badan terasa lemas, maka segera konsultasi ke dokter spesialis paru di rumah sakit terdekat yaa. 
Semoga bermanfaat.",https://www.sehatq.com/forum/obat-batuk-berdahak-untuk-penderita-diabetes-q40952
